strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count
A/WELLINGTON/1/2004		A	H3N2	2004		virus_and_reference	313	1251
A/WELLINGTON/25/1993		A	H3N2	1993		virus_and_reference	10	24
A/WISCONSIN/15/2009		A	H3N2	2009		virus_and_reference	266	720
A/WISCONSIN/20/2015		A	H3N2	2015		virus_and_reference	12	21
A/WISCONSIN/3/2007		A	H3N2	2007		virus_and_reference	555	1382
A/WISCONSIN/67/2005		A	H3N2	2005		virus_and_reference	1421	3771
A/WUHAN/359/1995		A	H3N2	1995		virus_and_reference	701	2865
A/WUHAN/371/1995		A	H3N2	1995		virus_and_reference	14	19
A/WYOMING/3/2003		A	H3N2	2003		virus_and_reference	843	2974
A/WYOMING/3/2003@X147		A	H3N2			virus_and_reference	15	362
A/ZAGREB/1216/2007		A	H3N2	2007		virus_and_reference	41	122
A/ZAGREB/1530/1994		A	H3N2	1994		virus_and_reference	8	17
B/BEIJING/184/1993		A	H3N2	1993		virus_and_reference	21	35
B/BEIJING/243/1996		A	H3N2	1996		virus_and_reference	14	26
B/HONGKONG/22/1989		A	H3N2	1989		virus_and_reference	5	6
IVR108		A	H3N2			virus_and_reference	117	358
IVR112		A	H3N2			virus_and_reference	9	17
IVR117		A	H3N2			virus_and_reference	9	16
IVR197@A/SOUTHAUSTRALIA/34/2019		A	H3N2	2019		virus_and_reference	61	91
NIB80		A	H3N2			virus_and_reference	12	39
NIB85A		A	H3N2			virus_and_reference	13	37
SW/EIRE/471/1996		A	H3N2	1996		virus_and_reference	38	40
SW/IT/13962/1995		A	H3N2	1995		virus_and_reference	6	6
